app_id,day,model,feature,contribution
com.labpixies.flood,72,M1,stickiness,-0.2776
com.labpixies.flood,72,M1,dau,-0.0998
com.labpixies.flood,72,M1,crash_rate,-0.3399
com.labpixies.flood,72,M1,mau,0.5375
com.labpixies.flood,73,M1,stickiness,-0.2991
com.labpixies.flood,73,M1,dau,-0.2322
com.labpixies.flood,73,M1,crash_rate,-0.0436
com.labpixies.flood,73,M1,mau,0.5263
com.labpixies.flood,74,M1,stickiness,-0.2109
com.labpixies.flood,74,M1,dau,0.0463
com.labpixies.flood,74,M1,crash_rate,-0.3281
com.labpixies.flood,74,M1,mau,0.5408
com.labpixies.flood,75,M1,stickiness,-0.2883
com.labpixies.flood,75,M1,dau,-0.1867
com.labpixies.flood,75,M1,crash_rate,11.3187
com.labpixies.flood,75,M1,mau,0.4949
com.labpixies.flood,76,M1,stickiness,-0.2546
com.labpixies.flood,76,M1,dau,-0.0399
com.labpixies.flood,76,M1,crash_rate,-0.5164
com.labpixies.flood,76,M1,mau,0.4765
com.labpixies.flood,77,M1,stickiness,-0.3023
com.labpixies.flood,77,M1,dau,-0.3005
com.labpixies.flood,77,M1,crash_rate,0.2791
com.labpixies.flood,77,M1,mau,0.4765
com.labpixies.flood,78,M1,stickiness,-0.208
com.labpixies.flood,78,M1,dau,0.0175
com.labpixies.flood,78,M1,crash_rate,0.0327
com.labpixies.flood,78,M1,mau,0.4378
com.labpixies.flood,79,M1,stickiness,-0.2516
com.labpixies.flood,79,M1,dau,-0.0622
com.labpixies.flood,79,M1,crash_rate,-0.0046
com.labpixies.flood,79,M1,mau,0.405
com.labpixies.flood,80,M1,stickiness,-0.2112
com.labpixies.flood,80,M1,dau,0.0098
com.labpixies.flood,80,M1,crash_rate,0.4486
com.labpixies.flood,80,M1,mau,0.432
com.labpixies.flood,81,M1,stickiness,-0.1957
com.labpixies.flood,81,M1,dau,0.0702
com.labpixies.flood,81,M1,crash_rate,-0.3947
com.labpixies.flood,81,M1,mau,0.4629
com.labpixies.flood,82,M1,stickiness,-0.7794
com.labpixies.flood,82,M1,dau,-9.8419
com.labpixies.flood,82,M1,crash_rate,2.2405
com.labpixies.flood,82,M1,mau,0.4036
com.labpixies.flood,83,M1,stickiness,-0.1915
com.labpixies.flood,83,M1,dau,0.0394
com.labpixies.flood,83,M1,crash_rate,-0.1039
com.labpixies.flood,83,M1,mau,0.3748
com.labpixies.flood,84,M1,stickiness,-0.6614
com.labpixies.flood,84,M1,dau,-6.9659
com.labpixies.flood,84,M1,crash_rate,-0.6869
com.labpixies.flood,84,M1,mau,0.347
com.labpixies.flood,85,M1,stickiness,-0.4654
com.labpixies.flood,85,M1,dau,-2.7561
com.labpixies.flood,85,M1,crash_rate,0.0
com.labpixies.flood,85,M1,mau,0.3483
com.labpixies.flood,86,M1,stickiness,-0.7141
com.labpixies.flood,86,M1,dau,-8.3419
com.labpixies.flood,86,M1,crash_rate,-0.2515
com.labpixies.flood,86,M1,mau,0.3216
com.labpixies.flood,87,M1,stickiness,-0.7424
com.labpixies.flood,87,M1,dau,-9.227
com.labpixies.flood,87,M1,crash_rate,2.8031
com.labpixies.flood,87,M1,mau,0.2645
com.labpixies.flood,88,M1,stickiness,-0.3994
com.labpixies.flood,88,M1,dau,-1.8535
com.labpixies.flood,88,M1,crash_rate,19.9643
com.labpixies.flood,88,M1,mau,0.2679
com.labpixies.flood,89,M1,stickiness,-0.2316
com.labpixies.flood,89,M1,dau,-0.0542
com.labpixies.flood,89,M1,crash_rate,-0.1935
com.labpixies.flood,89,M1,mau,0.29
com.labpixies.flood,90,M1,stickiness,-0.4346
com.labpixies.flood,90,M1,dau,-2.3838
com.labpixies.flood,90,M1,crash_rate,-0.2485
com.labpixies.flood,90,M1,mau,0.2852
com.labpixies.flood,91,M1,stickiness,-0.5237
com.labpixies.flood,91,M1,dau,-4.1691
com.labpixies.flood,91,M1,crash_rate,19.7843
com.labpixies.flood,91,M1,mau,0.2533
com.labpixies.flood,92,M1,stickiness,-0.1295
com.labpixies.flood,92,M1,dau,0.4182
com.labpixies.flood,92,M1,crash_rate,-0.0203
com.labpixies.flood,92,M1,mau,0.2829
com.labpixies.flood,93,M1,stickiness,-0.4586
com.labpixies.flood,93,M1,dau,-2.8674
com.labpixies.flood,93,M1,crash_rate,0.1898
com.labpixies.flood,93,M1,mau,0.2656
com.labpixies.flood,94,M1,stickiness,-0.2428
com.labpixies.flood,94,M1,dau,-0.1105
com.labpixies.flood,94,M1,crash_rate,-0.2662
com.labpixies.flood,94,M1,mau,0.2782
com.labpixies.flood,95,M1,stickiness,-0.6507
com.labpixies.flood,95,M1,dau,-6.9659
com.labpixies.flood,95,M1,crash_rate,-0.5585
com.labpixies.flood,95,M1,mau,0.2611
com.labpixies.flood,96,M1,stickiness,-0.7812
com.labpixies.flood,96,M1,dau,-10.3694
com.labpixies.flood,96,M1,crash_rate,3.3496
com.labpixies.flood,96,M1,mau,0.2191
com.labpixies.flood,97,M1,stickiness,-0.4234
com.labpixies.flood,97,M1,dau,-2.4874
com.labpixies.flood,97,M1,crash_rate,-0.0245
com.labpixies.flood,97,M1,mau,0.1922
com.labpixies.flood,98,M1,stickiness,-0.7682
com.labpixies.flood,98,M1,dau,-10.2628
com.labpixies.flood,98,M1,crash_rate,-0.5172
com.labpixies.flood,98,M1,mau,0.1521
com.labpixies.flood,99,M1,stickiness,-0.7581
com.labpixies.flood,99,M1,dau,-10.1567
com.labpixies.flood,99,M1,crash_rate,-0.1763
com.labpixies.flood,99,M1,mau,0.1159
com.labpixies.flood,100,M1,stickiness,-0.8227
com.labpixies.flood,100,M1,dau,-12.0346
com.labpixies.flood,100,M1,crash_rate,-0.2659
com.labpixies.flood,100,M1,mau,0.0671
com.labpixies.flood,101,M1,stickiness,-0.8005
com.labpixies.flood,101,M1,dau,-11.6916
com.labpixies.flood,101,M1,crash_rate,-0.7539
com.labpixies.flood,101,M1,mau,0.0332
com.labpixies.flood,102,M1,stickiness,-0.3933
com.labpixies.flood,102,M1,dau,-2.8114
com.labpixies.flood,102,M1,crash_rate,1.9203
com.labpixies.flood,102,M1,mau,0.0348
com.labpixies.flood,103,M1,stickiness,-0.7905
com.labpixies.flood,103,M1,dau,-11.5784
com.labpixies.flood,103,M1,crash_rate,-1.1771
com.labpixies.flood,103,M1,mau,0.0188
com.labpixies.flood,104,M1,stickiness,-0.3946
com.labpixies.flood,104,M1,dau,-3.0966
com.labpixies.flood,104,M1,crash_rate,-0.0366
com.labpixies.flood,104,M1,mau,0.013
com.labpixies.flood,105,M1,stickiness,-0.6476
com.labpixies.flood,105,M1,dau,-8.438
com.labpixies.flood,105,M1,crash_rate,0.7656
com.labpixies.flood,105,M1,mau,0.0052
com.labpixies.flood,106,M1,stickiness,-0.327
com.labpixies.flood,106,M1,dau,-2.1833
